interval,micro_avg_transaction_time,mono_avg_transaction_time,hybrid_avg_transaction_time,dist_micro_avg_transaction_time,dist_mono_avg_transaction_time,dist_hybrid_avg_transaction_time
2024-12-14 14:29:31,701.4652313142858,1861.4791409238094,941.0930498349206,983.414840674603,871.7077846317461,1760.0295797253962
2024-12-14 14:30:31,1680.9857824667763,4326.252129615807,2248.651191350906,2537.076434160264,2675.1108728166846,4507.273213178924
2024-12-14 14:31:31,3535.318106940531,6139.412524712957,6838.79991915515,3294.678612290033,4385.561293338538,7516.193801846845
2024-12-14 14:32:31,7944.4127958373865,7206.023142932776,6933.334764164283,3398.2702972219317,6654.221953963291,10944.38387642217
2024-12-14 14:33:31,8910.240391632076,11454.200690927988,10470.252699928516,4212.065217257053,16877.042683541575,13834.858034366745
2024-12-14 14:34:31,7384.04189015,13364.437806283328,15057.22940458333,5868.60623375,9521.64572155,15027.280981866668
2024-12-14 14:35:31,6233.369509983333,16314.370849699999,11371.553571150002,5373.1383526833315,12408.659102333335,15469.864802466669
2024-12-14 14:36:31,6900.473345666667,12856.971793616667,8036.575871716667,7055.874049550001,5688.8908943666665,18486.206402633336
2024-12-14 14:37:31,10983.5810981,13870.27743398333,15317.063884599998,6061.977185016667,4459.002317050001,18663.93138358333
2024-12-14 14:38:31,9909.82058395,11545.19951448333,17776.859559066666,5543.657937016667,6263.944911650001,17685.716710733333
2024-12-14 14:39:31,8999.621946166666,12457.108312716668,14197.89943491667,5883.873757716666,6254.561867633334,19779.202690083333
2024-12-14 14:40:31,9470.251602983335,15598.972327683332,12191.507832050002,4685.656501733333,5198.0618396499995,18217.6454606
2024-12-14 14:41:31,8517.072887299999,12042.396376016666,9123.717436816665,6468.398644983333,4458.50391165,19722.571511833336
2024-12-14 14:42:31,9928.709844033334,14574.095627816667,8324.207699266668,4895.845238299999,5241.451930950001,18186.765606333334
2024-12-14 14:43:31,8468.510936383333,14108.152845066666,7938.599858216666,8650.779318016666,5229.910606766667,17181.10398013333
2024-12-14 14:44:31,5651.255976295057,14827.872009478313,9058.614584589954,3935.431666010206,7135.992618081021,19530.686535342582
2024-12-14 14:45:31,17419.73521385895,19503.57548930204,9735.934731131878,6324.787893752985,5788.361063726784,19003.66369062911
2024-12-14 14:46:31,15168.697221868946,45949.564312904,11185.918617330519,9454.97233651312,9674.79285396238,28462.119792977912
2024-12-14 14:47:31,13415.171066896408,23702.868448567282,15606.02191613829,5403.233849468897,6923.825494019084,37743.20018884758
2024-12-14 14:48:31,14602.922155050059,20184.36273866805,21141.29937624717,5729.367930319723,6878.583851010496,50624.76038735168
2024-12-14 14:49:31,9592.74698568015,24935.90047374488,17455.264303548214,5464.161183926753,10501.76953633772,64062.6842911781
2024-12-14 14:50:31,12261.208530469909,30544.24511210315,17628.0636185849,8395.254658432623,10973.165790167375,73728.94251773476
2024-12-14 14:51:31,15036.553809660176,35641.13091439675,39333.51844928109,11794.119538719198,8658.986131915664,50441.625416903524
2024-12-14 14:52:31,12940.501609765854,32649.79395325355,22285.040127596385,8576.56384234535,9744.18357401653,82259.12869062908
2024-12-14 14:53:31,11922.2188472503,35924.95150306667,22652.50218248586,14557.65716336966,10001.897350481833,118238.24722955655
2024-12-14 14:54:31,12341.897685158841,35666.03549113818,23371.458213460985,8212.21800112657,10355.826894319456,67724.19659882115
2024-12-14 14:55:31,9759.591628953403,26019.261676801358,17411.894490997394,5557.737875124511,20947.879990509417,62832.70002012063
2024-12-14 14:56:31,6939.607927696972,21129.70921231324,10400.97218306608,5762.313887085999,6296.505045699817,24338.534923037732
2024-12-14 14:57:31,5301.927142630668,7072.052817008806,5975.367995228909,2960.8982411465086,2694.5944432658953,9459.05500886734
2024-12-14 14:58:31,1481.6443650444266,2884.1311894574906,1857.2992996357032,1793.2083652939275,1897.2299760194803,4246.626590567961
